Name,Industry,Sector,Headquarters,Founded,Notes
2GO,Industrials,Marine transportation,Manila,2012,"Shipping, part of 2GO Group"
2GO (cargo airline),Industrials,Delivery services,Manila,1988,"Cargo airline, part of 2GO Group"
2GO Group,Industrials,Delivery services,Manila,1949,Transportation holding company
Aboitiz Equity Ventures,Conglomerates,-,Cebu,1989,"Consumer goods, utilities, financials, industrials"
ABS-CBN Corporation,Conglomerate,Media and entertainment,Quezon City,1946,"Broadcasting, motion pictures, TV production, cable TV, internet, streaming service, broadcast syndication, talent agency, record label, telecommunications, satellite TV, film distribution, consumer products and services, part of Lopez Holdings Corporation"
ABS-CBN Convergence,Telecommunications,Mobile telecommunications,Quezon City,2011,"Cellular and DTT, part of ABS-CBN Corporation"
ABS-CBN Publishing,Consumer services,Publishing,Quezon City,2000,"Print publishing, part of ABS-CBN Corporation"
Advanced Contact Solutions,Industrials,Business support services,Manila,1996,Business process outsourcing
Adventist Medical Center Manila,Health care,Health care providers,Pasay,1929,Hospital
AgostoDos Pictures,Consumer services,Entertainment,-,2011,Film production
AirAsia Zest,Consumer services,Airlines,Pasay,1995,"Airline, defunct 2015"
Al-Amanah Islamic Bank,Financials,Banks,Zamboanga City,1973,Islamic bank
Alaska Milk Corporation,Consumer goods,Food products,Makati,1972,"Dairy products, part of FrieslandCampina (Netherlands)"
Alliance Global,Conglomerate,Various,Taguig,1993,Holding
Aliw Broadcasting Corporation,Masa media,Broadcasting & entertainment,Pasig,1991,"Broadcaster, radio and consumer services, part of ALC Group of Companies"
All Youth Channels,Consumer services,Broadcasting & entertainment,Pasig,2006,Broadcaster
Allied Bank,Financials,Banks,Manila,1977,Bank
Anima,Consumer services,Broadcasting and entertainment,Taguig,2016,"Film production, part of Globe Telecom"
APT Entertainment,Consumer services,Broadcasting and entertainment,Pasig,1994,Television and film production
Armscor,Consumer goods,Defense,Marikina,1905,Firearms
Asia Brewery,Consumer goods,Brewers,Makati,1982,Brewery
Asia United Bank,Financials,Banks,Pasig,1997,"Commercial bank, part of Rebisco"
Asian Hospital and Medical Center,Health care,Health care providers,Manila,2002,Hospital
Asian Television Content Corporation,Consumer services,Broadcasting & entertainment,Quezon City,2014,Broadcaster
Asian Vision,Telecommunications,Fixed line telecommunications,Makati,1973,Pay TV and broadband
Ayala Corporation,Conglomerates,-,Manila,1834,"Financials, utilities, telecommunications, industrials"
Ayala Land,Financials,Real estate holding & development,Makati,1988,"Real estate, part of Ayala Corporation"
Banco de Oro,Financials,Banks,Makati,1968,Universal bank
Bank of Commerce,Financials,Banks,Mandaluyong,1963,"Commercial bank, part of San Miguel Corporation"
Bank of the Philippine Islands,Financials,Banks,Manila,1851,"Universal bank, part of Ayala Corporation"
Bayan Telecommunications,Telecommunications,Fixed line telecommunications,Quezon City,1986,"Telecom, ISP, part of Globe Telecom"
Bombo Radyo Philippines,Consumer services,Broadcasting & entertainment,Iloilo City,1966,Radio
Brigada Mass Media Corporation,Consumer services,Publishing,General Santos,2005,Newspaper publisher
Brightlight Productions,Consumer services,Broadcasting and entertainment,Taguig,2020,TV production
Broadcast Enterprises and Affiliated Media,Consumer services,Broadcasting & entertainment,Mandaluyong,2011,Broadcaster
CDO Foodsphere,Consumer goods,Food products,"Valenzuela, Metro Manila",1975,Meat
Cebgo,Consumer services,Airlines,Pasay,1995,"Low-cost airline, part of Cebu Pacific"
Cebu Pacific,Consumer services,Airlines,Pasay,1996,Airline
Cebu Landmasters,Financials,Real estate holding & development,Cebu,2003,Real estate
Cebuana Lhuillier,Financials,Specialty finance,Manila,1988,Pawn and moneylender
Century Pacific Food,Consumer goods,Food products,Pasig,2013,Meat and fish
